WoS Source UT,WoS Cited Reference UT,Cited Author,Times Cited,Pub Year,Volume,Page,Cited Work,Cited Title,DOI
WOS:000419959800012,WOS:000366599400002,"Haney, Margaret",46,2016,41,393,NEUROPSYCHOPHARMACOLOGY,"Does Cannabis Cause, Exacerbate or Ameliorate Psychiatric Disorders? An Oversimplified Debate Discussed",10.1038/npp.2015.251
WOS:000419959800012,WOS:000370260300013,"Davis, Jonathan M.",39,2016,50,373,AMERICAN JOURNAL OF PREVENTIVE MEDICINE,Public Health Effects of Medical Marijuana Legalization in Colorado,10.1016/j.amepre.2015.06.034
WOS:000419959800012,WOS:000371613500019,"Grucza, Richard A.",76,2016,73,300,JAMA PSYCHIATRY,Recent Trends in the Prevalence of Marijuana Use and Associated Disorders in the United States,10.1001/jamapsychiatry.2015.3111
WOS:000419959800012,WOS:000371621500001,"Kraan, T.",72,2016,46,673,PSYCHOLOGICAL MEDICINE,Cannabis use and transition to psychosis in individuals at ultra-high risk: review and meta-analysis,10.1017/S0033291715002329
WOS:000419959800012,WOS:000370570100008,"Bujarski, Sarah J.",22,2016,30,73,PSYCHOLOGY OF ADDICTIVE BEHAVIORS,Cannabis Use Disorder Treatment Barriers and Facilitators Among Veterans With PTSD,10.1037/adb0000131
WOS:000419959800012,WOS:000368140900003,"Guttmannova, Katarina",75,2016,40,33,ALCOHOLISM-CLINICAL AND EXPERIMENTAL RESEARCH,Impacts of Changing Marijuana Policies on Alcohol Use in the United States,10.1111/acer.12942
WOS:000419959800012,WOS:000367862600003,"Rudd, Rose A.",1339,2016,64,1378,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,"Increases in Drug and Opioid Overdose Deaths - United States, 2000-2014",10.15585/mmwr.mm6450a3
WOS:000419959800012,WOS:000367582200016,"Hasin, Deborah S.",616,2015,72,1235,JAMA PSYCHIATRY,Prevalence of Marijuana Use Disorders in the United States Between 2001-2002 and 2012-2013,10.1001/jamapsychiatry.2015.1858
WOS:000419959800012,WOS:000366373600005,"Anderson, D. Mark",79,2015,17,495,AMERICAN LAW AND ECONOMICS REVIEW,Medical Marijuana Laws and Teen Marijuana Use,10.1093/aler/ahv002
WOS:000419959800012,WOS:000365412500025,"Wilkinson, Samuel T.",81,2015,76,1174,JOURNAL OF CLINICAL PSYCHIATRY,Marijuana Use Is Associated With Worse Outcomes in Symptom Severity and Violent Behavior in Patients With Posttraumatic Stress Disorder,10.4088/JCP.14m09475
WOS:000419959800012,WOS:000351221400003,"Pacula, Rosalie L.",261,2015,34,7,JOURNAL OF POLICY ANALYSIS AND MANAGEMENT,Assessing the Effects of Medical Marijuana Laws on Marijuana Use: The Devil is in the Details,10.1002/pam.21804
WOS:000419959800012,WOS:000361821700001,"Fergusson, David M.",73,2015,50,1317,SOCIAL PSYCHIATRY AND PSYCHIATRIC EPIDEMIOLOGY,Psychosocial sequelae of cannabis use and implications for policy: findings from the Christchurch Health and Development Study,10.1007/s00127-015-1070-x
WOS:000419959800012,WOS:000363329100004,"Tashkin, Donald P.",20,2015,110,1706,ADDICTION,How beneficial is vaping cannabis to respiratory health compared to smoking?,10.1111/add.13075
WOS:000419959800012,WOS:000362887800011,"Hawkins, Eric J.",30,2015,16,1943,PAIN MEDICINE,"Prevalence and Trends of Concurrent Opioid Analgesic and Benzodiazepine Use Among Veterans Affairs Patients with Post-traumatic Stress Disorder, 2003-2011",10.1111/pme.12787
WOS:000419959800012,WOS:000359954200010,"Levy, Benjamin",494,2015,49,409,AMERICAN JOURNAL OF PREVENTIVE MEDICINE,"Trends in Opioid Analgesic-Prescribing Rates by Specialty, US, 2007-2012",10.1016/j.amepre.2015.02.020
WOS:000419959800012,WOS:000359893500010,"Nahin, Richard L.",611,2015,16,769,JOURNAL OF PAIN,"Estimates of Pain Prevalence and Severity in Adults: United States, 2012",10.1016/j.jpain.2015.05.002
WOS:000419959800012,WOS:000357394300027,"Hasin, Deborah S.",199,2015,2,601,LANCET PSYCHIATRY,"Medical marijuana laws and adolescent marijuana use in the USA from 1991 to 2014: results from annual, repeated cross-sectional surveys",10.1016/S2215-0366(15)00217-5
WOS:000419959800012,WOS:000358550900018,"Ko, Jean Y.",174,2015,213,,AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY,Prevalence and patterns of marijuana use among pregnant and nonpregnant women of reproductive age,10.1016/j.ajog.2015.03.021
WOS:000419959800012,WOS:000356663600015,"Whiting, Penny F.",1242,2015,313,2456,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,Cannabinoids for Medical Use A Systematic Review and Meta-analysis,10.1001/jama.2015.6358
WOS:000419959800012,WOS:000357230400006,"Wen, Hefei",216,2015,42,64,JOURNAL OF HEALTH ECONOMICS,"The effect of medical marijuana laws on adolescent and adult use of marijuana, alcohol, and other substances",10.1016/j.jhealeco.2015.03.007
WOS:000419959800012,WOS:000356177100056,"Finney, John W.",25,2015,175,655,JAMA INTERNAL MEDICINE,What Ecologic Analyses Cannot Tell Us About Medical Marijuana Legalization and Opioid Pain Medication Mortality,10.1001/jamainternmed.2014.8006
WOS:000419959800012,MEDLINE:26241291,,39,2015,126,234,Obstetrics and gynecology,Committee Opinion No. 637: Marijuana Use During Pregnancy and Lactation.,10.1097/01.AOG.0000467192.89321.a6
WOS:000419959800012,WOS:000352807600003,"Rabin, Rachel Allison",106,2015,24,105,AMERICAN JOURNAL ON ADDICTIONS,A Review of Co-Morbid Tobacco and Cannabis Use Disorders: Possible Mechanisms to Explain High Rates of Co-Use,10.1111/ajad.12186
WOS:000419959800012,WOS:000351799200032,"Pacek, Lauren R.",189,2015,149,232,DRUG AND ALCOHOL DEPENDENCE,"Perceived risk of regular cannabis use in the United States from 2002 to 2012: Differences by sex, age, and race/ethnicity",10.1016/j.drugalcdep.2015.02.009
WOS:000419959800012,WOS:000209717300006,"Katz, Gregory",16,2014,51,270,ISRAEL JOURNAL OF PSYCHIATRY AND RELATED SCIENCES,Cannabis Withdrawal - A New Diagnostic Category in DSM-5,
WOS:000419959800012,WOS:000347456400003,"Jehle, Charles Christopher, Jr.",16,2015,36,E12,JOURNAL OF BURN CARE & RESEARCH,The Rapidly Increasing Trend of Cannabis Use in Burn Injury,10.1097/BCR.0000000000000192
WOS:000419959800012,WOS:000348010700004,"Chu, Yu-Wei Luke",86,2014,38,43,JOURNAL OF HEALTH ECONOMICS,The effects of medical marijuana laws on illegal marijuana use,10.1016/j.jhealeco.2014.07.003
WOS:000419959800012,WOS:000345909100030,"Hayes, Marie J.",25,2014,174,1673,JAMA INTERNAL MEDICINE,Legalization of Medical Marijuana and Incidence of Opioid Mortality,10.1001/jamainternmed.2014.2716
WOS:000419959800012,WOS:000345909100029,"Bachhuber, Marcus A.",455,2014,174,1668,JAMA INTERNAL MEDICINE,"Medical Cannabis Laws and Opioid Analgesic Overdose Mortality in the United States, 1999-2010",10.1001/jamainternmed.2014.4005
WOS:000419959800012,WOS:000344415900002,"Price, Zachary S.",90,2014,67,671,VANDERBILT LAW REVIEW,Enforcement Discretion and Executive Duty,
WOS:000419959800012,WOS:000343421100009,"Greene, M. Claire",21,2014,8,359,JOURNAL OF ADDICTION MEDICINE,The Prevalence of Cannabis Withdrawal and Its Influence on Adolescents' Treatment Response and Outcomes: A 12-Month Prospective Investigation,10.1097/ADM.0000000000000064
WOS:000419959800012,WOS:000340318900008,"Bohnert, Kipling M.",16,2014,39,1414,ADDICTIVE BEHAVIORS,Positive posttraumatic stress disorder screens among first-time medical cannabis patients: Prevalence and association with other substance use,10.1016/j.addbeh.2014.05.022
WOS:000419959800012,MEDLINE:30313000,"Chou, Roger",49,2014,,1,Evidence report/technology assessment,The Effectiveness and Risks of Long-Term Opioid Treatment of Chronic Pain.,10.23970/AHRQEPCERTA218
WOS:000419959800012,WOS:000340819800022,"Thompson, George R., III",1689,2014,371,878,NEW ENGLAND JOURNAL OF MEDICINE,Adverse Health Effects of Marijuana Use,10.1056/NEJMra1402309
WOS:000419959800012,WOS:000338811200022,"Palamar, Joseph J.",90,2014,25,424,INTERNATIONAL JOURNAL OF DRUG POLICY,Correlates of intentions to use cannabis among US high school seniors in the case of cannabis legalization,10.1016/j.drugpo.2014.01.017
WOS:000419959800012,WOS:000338619300020,"Schuermeyer, Joseph",194,2014,140,145,DRUG AND ALCOHOL DEPENDENCE,"Temporal trends in marijuana attitudes, availability and use in Colorado compared to non-medical marijuana states: 2003-11",10.1016/j.drugalcdep.2014.04.016
WOS:000419959800012,WOS:000338619300019,"Salomonsen-Sautel, Stacy",115,2014,140,137,DRUG AND ALCOHOL DEPENDENCE,Trends in fatal motor vehicle crashes before and after marijuana commercialization in Colorado,10.1016/j.drugalcdep.2014.04.008
WOS:000419959800012,WOS:000337115100010,"Wang, George S.",102,2014,63,684,ANNALS OF EMERGENCY MEDICINE,Association of Unintentional Pediatric Exposures With Decriminalization of Marijuana in the United States,10.1016/j.annemergmed.2014.01.017
WOS:000419959800012,WOS:000333990500012,"Gruenewald, Paul J.",79,2014,109,736,ADDICTION,Testing a social ecological model of alcohol use: the California 50-city study,10.1111/add.12438
WOS:000419959800012,WOS:000334139200018,"Sevigny, Eric L.",75,2014,25,308,INTERNATIONAL JOURNAL OF DRUG POLICY,The effects of medical marijuana laws on potency,10.1016/j.drugpo.2014.01.003
WOS:000419959800012,WOS:000333246800006,"Brady, Joanne E.",136,2014,179,692,AMERICAN JOURNAL OF EPIDEMIOLOGY,"Trends in Alcohol and Other Drugs Detected in Fatally Injured Drivers in the United States, 1999-2010",10.1093/aje/kwt327
WOS:000419959800012,WOS:000331098300010,"Agrawal, Arpana",32,2014,109,360,ADDICTION,Cannabis controversies: how genetics can inform the study of comorbidity,10.1111/add.12436
WOS:000419959800012,WOS:000330918700001,"Walsh, Zach",189,2013,24,511,INTERNATIONAL JOURNAL OF DRUG POLICY,"Cannabis for therapeutic purposes: Patient characteristics, access, and reasons for use",10.1016/j.drugpo.2013.08.010
WOS:000419959800012,WOS:000328950900004,"Bonn-Miller, Marcel O.",180,2014,40,23,AMERICAN JOURNAL OF DRUG AND ALCOHOL ABUSE,"Self-reported cannabis use characteristics, patterns and helpfulness among medical cannabis users",10.3109/00952990.2013.821477
WOS:000419959800012,WOS:000328221800013,"Pacula, Rosalie Liccardo",15,2014,33,232,JOURNAL OF POLICY ANALYSIS AND MANAGEMENT,Natural Experiments in a Complex and Dynamic Environment: The Need for a Measured Assessment of the Evidence,10.1002/pam.21730
WOS:000419959800012,WOS:000328221800012,"Anderson, D. Mark",69,2014,33,221,JOURNAL OF POLICY ANALYSIS AND MANAGEMENT,The Legalization of Recreational Marijuana: How Likely Is the Worst-Case Scenario?,10.1002/pam.21727
WOS:000419959800012,WOS:000330463300008,"Hawkins, Eric J.",9,2013,7,354,JOURNAL OF ADDICTION MEDICINE,Comparative Safety of Benzodiazepines and Opioids Among Veterans Affairs Patients With Posttraumatic Stress Disorder,10.1097/ADM.0b013e31829e3957
WOS:000419959800012,WOS:000323653400012,"Lee, Dayong",20,2013,405,7269,ANALYTICAL AND BIOANALYTICAL CHEMISTRY,Oral fluid/plasma cannabinoid ratios following controlled oral THC and smoked cannabis administration,10.1007/s00216-013-7159-8
WOS:000419959800012,WOS:000323250900008,"Verweij, Karin J. H.",39,2013,18,846,ADDICTION BIOLOGY,The genetic aetiology of cannabis use initiation: a meta-analysis of genome-wide association studies and a SNP-based heritability estimation,10.1111/j.1369-1600.2012.00478.x
WOS:000419959800012,WOS:000322122900013,"Verweij, K. J. H.",14,2013,43,1713,PSYCHOLOGICAL MEDICINE,A genetic perspective on the proposed inclusion of cannabis withdrawal in DSM-5,10.1017/S0033291712002735
WOS:000419959800012,WOS:000322611400008,"Hasin, Deborah S.",719,2013,170,834,AMERICAN JOURNAL OF PSYCHIATRY,DSM-5 Criteria for Substance Use Disorders: Recommendations and Rationale,10.1176/appi.ajp.2013.12060782
WOS:000419959800012,WOS:000329112100005,"Saxon, Andrew J.",6,2014,36,4,GENERAL HOSPITAL PSYCHIATRY,Marijuana not ready for prime time as an analgesic,10.1016/j.genhosppsych.2013.08.005
WOS:000419959800012,WOS:000321893300003,"Anderson, D. Mark",228,2013,56,333,JOURNAL OF LAW & ECONOMICS,"Medical Marijuana Laws, Traffic Fatalities, and Alcohol Consumption",10.1086/668812
WOS:000419959800012,WOS:000317337600008,"Hartman, Rebecca L.",364,2013,59,478,CLINICAL CHEMISTRY,Cannabis Effects on Driving Skills,10.1373/clinchem.2012.194381
WOS:000419959800012,WOS:000316730900014,"Piontek, Daniela",42,2013,52,473,JOURNAL OF ADOLESCENT HEALTH,Individual and Country-Level Effects of Cannabis-Related Perceptions on Cannabis Use. A Multilevel Study Among Adolescents in 32 European Countries,10.1016/j.jadohealth.2012.07.010
WOS:000419959800012,WOS:000317691600001,"Hawken, Angela",24,2013,108,837,ADDICTION,Quasi-legal cannabis in Colorado and Washington: local and national implications,10.1111/add.12156
WOS:000419959800012,WOS:000313992800008,"Haney, Margaret",68,2013,73,242,BIOLOGICAL PSYCHIATRY,Predictors of Marijuana Relapse in the Human Laboratory: Robust Impact of Tobacco Cigarette Smoking Status,10.1016/j.biopsych.2012.07.028
WOS:000419959800012,WOS:A1988M728700007,"BACHMAN, JG",125,1988,29,92,JOURNAL OF HEALTH AND SOCIAL BEHAVIOR,"EXPLAINING THE RECENT DECLINE IN MARIJUANA USE - DIFFERENTIATING THE EFFECTS OF PERCEIVED RISKS, DISAPPROVAL, AND GENERAL LIFESTYLE FACTORS",10.2307/2137183
WOS:000419959800012,WOS:000311071100007,"Bonn-Miller, Marcel O.",96,2012,9,404,PSYCHOLOGICAL SERVICES,"Prevalence of Cannabis Use Disorder Diagnoses Among Veterans in 2002, 2008, and 2009",10.1037/a0027622
WOS:000419959800012,WOS:000309611400006,"Meier, Madeline H.",917,2012,109,E2657,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,Persistent cannabis users show neuropsychological decline from childhood to midlife,10.1073/pnas.1206820109
WOS:000419959800012,WOS:000495726500004,"Anthony, James C.",880,1994,2,244,EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY,"Comparative Epidemiology of Dependence on Tobacco, Alcohol, Controlled Substances, and Inhalants: Basic Findings From the National Comorbidity Survey",10.1037/1064-1297.2.3.244
WOS:000419959800012,WOS:000305826300022,"Zalesky, Andrew",211,2012,135,2245,BRAIN,Effect of long-term cannabis use on axonal fibre connectivity,10.1093/brain/aws136
WOS:000419959800012,WOS:000305497000016,"Johnson, Mark B.",39,2012,123,105,DRUG AND ALCOHOL DEPENDENCE,The prevalence of cannabis-involved driving in California,10.1016/j.drugalcdep.2011.10.023
WOS:000419959800012,WOS:000304858400010,"Agrawal, Arpana",315,2012,107,1221,ADDICTION,The co-occurring use and misuse of cannabis and tobacco: a review,10.1111/j.1360-0443.2012.03837.x
WOS:000419959800012,WOS:000299499800004,"Cerda, Magdalena",339,2012,120,22,DRUG AND ALCOHOL DEPENDENCE,"Medical marijuana laws in 50 states: Investigating the relationship between state legalization of medical marijuana and marijuana use, abuse and dependence",10.1016/j.drugalcdep.2011.06.011
WOS:000419959800012,MEDLINE:22150622,"Cascini, Fidelia",125,2012,5,32,Current drug abuse reviews,Increasing delta-9-tetrahydrocannabinol (Delta-9-THC) content in herbal cannabis over time: systematic review and meta-analysis.,
WOS:000419959800012,WOS:000298890100007,"Li, Mu-Chen",233,2012,34,65,EPIDEMIOLOGIC REVIEWS,Marijuana Use and Motor Vehicle Crashes,10.1093/epirev/mxr017
WOS:000419959800012,MEDLINE:22323502,"Asbridge, Mark",113,2012,344,e536,BMJ (Clinical research ed.),Acute cannabis consumption and motor vehicle collision risk: systematic review of observational studies and meta-analysis.,10.1136/bmj.e536
WOS:000419959800012,WOS:000298954200008,"Paulozzi, Leonard J.",172,2012,13,87,PAIN MEDICINE,A History of Being Prescribed Controlled Substances and Risk of Drug Overdose Death,10.1111/j.1526-4637.2011.01260.x
WOS:000419959800012,WOS:000296584400011,"Goldstein, Rita Z.",1549,2011,12,652,NATURE REVIEWS NEUROSCIENCE,Dysfunction of the prefrontal cortex in addiction: neuroimaging findings and clinical implications,10.1038/nrn3119
WOS:000419959800012,WOS:000295073500027,"Mittal, Vijay A.",9164,2011,189,158,PSYCHIATRY RESEARCH,Diagnostic and Statistical Manual of Mental Disorders,10.1016/j.psychres.2011.06.006
WOS:000419959800012,WOS:000294094600011,"Wall, Melanie M.",165,2011,21,714,ANNALS OF EPIDEMIOLOGY,"Adolescent Marijuana Use from 2002 to 2008: Higher in States with Medical Marijuana Laws, Cause Still Unclear",10.1016/j.annepidem.2011.06.001
WOS:000419959800012,WOS:000292577700005,"Reinarman, Craig",189,2011,43,128,JOURNAL OF PSYCHOACTIVE DRUGS,Who Are Medical Marijuana Patients? Population Characteristics from Nine California Assessment Clinics,10.1080/02791072.2011.587700
WOS:000419959800012,WOS:000218199400009,"Wu, Chia-Shan",91,2011,6,459,FUTURE NEUROLOGY,Lasting impacts of prenatal cannabis exposure and the role of endogenous cannabinoids in the developing brain,10.2217/FNL.11.27
WOS:000419959800012,MEDLINE:23750291,"Nunberg, Helen",92,2011,4,,Journal of drug policy analysis,An Analysis of Applicants Presenting to a Medical Marijuana Specialty Practice in California.,
WOS:000419959800012,WOS:000298304600015,"Gruenewald, Paul J.",89,2011,34,248,ALCOHOL RESEARCH & HEALTH,REGULATING AVAILABILITY: HOW ACCESS TO ALCOHOL AFFECTS DRINKING AND PROBLEMS IN YOUTH AND ADULTS,
WOS:000419959800012,WOS:000285205000033,"Haberstick, Brett C.",37,2011,106,215,ADDICTION,"Common and drug-specific genetic influences on subjective effects to alcohol, tobacco and marijuana use",10.1111/j.1360-0443.2010.03129.x
WOS:000419959800012,WOS:000284310000001,"Okie, Susan",649,2010,363,1981,NEW ENGLAND JOURNAL OF MEDICINE,"A Flood of Opioids, a Rising Tide of Deaths",10.1056/NEJMp1011512
WOS:000419959800012,WOS:000282476700018,"Levin, Kenneth H.",75,2010,111,120,DRUG AND ALCOHOL DEPENDENCE,Cannabis withdrawal symptoms in non-treatment-seeking adult cannabis smokers,10.1016/j.drugalcdep.2010.04.010
WOS:000419959800012,WOS:000277606600013,"Calabria, Bianca",106,2010,29,318,DRUG AND ALCOHOL REVIEW,Does cannabis use increase the risk of death? Systematic review of epidemiological evidence on adverse effects of cannabis use,10.1111/j.1465-3362.2009.00149.x
WOS:000419959800012,WOS:000275092800003,"Connell, Christian M.",99,2010,45,36,AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,Social-Ecological Influences on Patterns of Substance Use Among Non-Metropolitan High School Students,10.1007/s10464-009-9289-x
WOS:000419959800012,MEDLINE:20944765,"Stern, Theodore A",5,2010,12,,Primary care companion to the Journal of clinical psychiatry,"Current approaches to the recognition and treatment of alcohol withdrawal and delirium tremens: ""old wine in new bottles"" or ""new wine in old bottles"".",10.4088/PCC.10r00991ecr
WOS:000419959800012,WOS:000273535500002,"Reiman, Amanda",146,2009,6,,HARM REDUCTION JOURNAL,Cannabis as a substitute for alcohol and other drugs,10.1186/1477-7517-6-35
WOS:000419959800012,WOS:000264807200002,"Imbens, Guido W.",2125,2009,47,5,JOURNAL OF ECONOMIC LITERATURE,Recent Developments in the Econometrics of Program Evaluation,10.1257/jel.47.1.5
WOS:000419959800012,WOS:000263140900005,"Compton, Wilson M.",72,2009,100,221,DRUG AND ALCOHOL DEPENDENCE,The role of cannabis use within a dimensional approach to cannabis use disorders,10.1016/j.drugalcdep.2008.10.009
WOS:000419959800012,WOS:000263130200015,"Chen, Chuan-Yu",299,2009,34,319,ADDICTIVE BEHAVIORS,Early-onset drug use and risk for drug dependence problems,10.1016/j.addbeh.2008.10.021
WOS:000419959800012,WOS:000287691000010,"Angrist, JD",8212,2009,,1,MOSTLY HARMLESS ECONOMETRICS: AN EMPIRICISTS COMPANION,Mostly Harmless Econometrics: An Empiricists Companion,
WOS:000419959800012,WOS:000260800700002,"Budney, Alan J.",128,2008,35,362,JOURNAL OF SUBSTANCE ABUSE TREATMENT,Comparison of cannabis and tobacco withdrawal: Severity and contribution to relapse,10.1016/j.jsat.2008.01.002
WOS:000419959800012,WOS:000259414400017,"Cornelius, Jack R.",76,2008,33,1500,ADDICTIVE BEHAVIORS,"Cannabis withdrawal is common among treatment-seeking adolescents with cannabis dependence and major depression, and is associated with rapid relapse to dependence",10.1016/j.addbeh.2008.02.001
WOS:000419959800012,WOS:000260070800002,"Tsang, Adley",703,2008,9,883,JOURNAL OF PAIN,Common Chronic Pain Conditions in Developed and Developing Countries: Gender and Age Differences and Comorbidity With Depression-Anxiety Disorders,10.1016/j.jpain.2008.05.005
WOS:000419959800012,WOS:000259392500004,"Hardt, Jochen",214,2008,9,803,PAIN MEDICINE,Prevalence of chronic pain in a representative sample in the United States,10.1111/j.1526-4637.2008.00425.x
WOS:000419959800012,WOS:000259716500002,"Hasin, Deborah S.",102,2008,69,1354,JOURNAL OF CLINICAL PSYCHIATRY,Cannabis withdrawal in the United States: Results from NESARC,10.4088/JCP.v69n0902
WOS:000419959800012,WOS:000255914400018,"Fergusson, David M.",359,2008,103,969,ADDICTION,Cannabis use and later life outcomes,10.1111/j.1360-0443.2008.02221.x
WOS:000419959800012,WOS:000256355600007,"Agrawal, Arpana",44,2008,17,199,AMERICAN JOURNAL ON ADDICTIONS,Is there evidence for symptoms of cannabis withdrawal in the national epidemiologic survey of alcohol and related conditions?,10.1080/10550490802019519
WOS:000419959800012,WOS:000254988300018,"Chung, Tammy",50,2008,103,787,ADDICTION,Cannabis withdrawal predicts severity of cannabis involvement at 1-year follow-up among treated adolescents,10.1111/j.1360-0443.2008.02158.x
WOS:000419959800012,WOS:000252522800011,"Milin, Robert",35,2008,47,174,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,Prospective assessment of cannabis withdrawal in adolescents with cannabis dependence: A pilot study,10.1097/chi.0b013e31815cdd73
WOS:000419959800012,WOS:000207708400003,"Elkashef, Ahmed",57,2008,29,17,SUBSTANCE ABUSE,Marijuana Neurobiology and Treatment,10.1080/08897070802218166
WOS:000419959800012,MEDLINE:17980043,"O'Connell, Thomas J",58,2007,4,16,Harm reduction journal,"Long term marijuana users seeking medical cannabis in California (2001-2007): demographics, social characteristics, patterns of cannabis and other drug use of 4117 applicants.",
WOS:000419959800012,WOS:000251313300014,"Martinez, Diana",40,2007,17,539,NEUROIMAGING CLINICS OF NORTH AMERICA,Imaging the neurochemistry of alcohol and substance abuse,10.1016/j.nic.2007.07.004
WOS:000419959800012,WOS:000246069000022,"Agrawal, Arpana",69,2007,88,300,DRUG AND ALCOHOL DEPENDENCE,Does gender contribute to heterogeneity in criteria for cannabis abuse and dependence? Results from the national epidemiological survey on alcohol and related conditions,10.1016/j.drugalcdep.2006.10.003
WOS:000419959800012,WOS:000245059300013,"Boden, Joseph M.",157,2007,37,431,PSYCHOLOGICAL MEDICINE,Anxiety disorders and suicidal behaviours in adolescence and young adulthood: findings from a longitudinal study,10.1017/S0033291706009147
WOS:000419959800012,WOS:000242868700002,"Budney, Alan J.",133,2007,86,22,DRUG AND ALCOHOL DEPENDENCE,Oral delta-9-tetrahydrocannabinol suppresses cannabis withdrawal symptoms,10.1016/j.drugalcdep.2006.04.014
WOS:000419959800012,WOS:000241671800011,"Stinson, Frederick S.",329,2006,36,1447,PSYCHOLOGICAL MEDICINE,"Cannabis use disorders in the USA: prevalence, correlates and co-morbidity",10.1017/S0033291706008361
WOS:000419959800012,WOS:000239617400008,"Hasin, Deborah",166,2006,101,59,ADDICTION,"Substance use disorders: Diagnostic and Statistical Manual of Mental Disorders, fourth edition (DSM-IV) and International Classification of Diseases, tenth edition (ICD-10)",10.1111/j.1360-0443.2006.01584.x
WOS:000419959800012,WOS:000237516100011,"Agrawal, Arpana",136,2006,101,801,ADDICTION,"The genetic epidemiology of cannabis use, abuse and dependence",10.1111/j.1360-0443.2006.01399.x
WOS:000419959800012,WOS:000237038800001,"Budney, AJ",218,2006,19,233,CURRENT OPINION IN PSYCHIATRY,The cannabis withdrawal syndrome,10.1097/01.yco.0000218592.00689.e5
WOS:000419959800012,WOS:000234991900003,"Copersino, ML",108,2006,15,8,AMERICAN JOURNAL ON ADDICTIONS,Cannabis withdrawal among non-treatment-seeking adult cannabis users,10.1080/10550490500418997
WOS:000419959800012,MEDLINE:16202145,"Swift, Wendy",90,2005,2,18,Harm reduction journal,Survey of Australians using cannabis for medical purposes.,10.1186/1477-7517-2-18
WOS:000419959800012,WOS:000230796900010,"Penetar, DM",81,2005,79,211,DRUG AND ALCOHOL DEPENDENCE,Transdermal nicotine alters some of marihuana's effects in male and female volunteers,10.1016/j.drugalcdep.2005.01.008
WOS:000419959800012,WOS:000224768400004,"Budney, AJ",332,2004,161,1967,AMERICAN JOURNAL OF PSYCHIATRY,Review of the validity and significance of cannabis withdrawal syndrome,10.1176/appi.ajp.161.11.1967
WOS:000419959800012,WOS:000225508200009,"Agrawal, A",128,2004,34,1227,PSYCHOLOGICAL MEDICINE,A twin study of early cannabis use and subsequent use and abuse/dependence of other illicit drugs,10.1017/S0033291704002545
WOS:000419959800012,WOS:000188508500001,"Ramaekers, JG",383,2004,73,109,DRUG AND ALCOHOL DEPENDENCE,Dose related risk of motor vehicle crashes after cannabis use,10.1016/j.drugalcdep.2003.10.008
WOS:000419959800012,WOS:000187993600019,"Haney, M",195,2004,29,158,NEUROPSYCHOPHARMACOLOGY,Marijuana withdrawal in humans: Effects of oral THC or divalproex,10.1038/sj.npp.1300310
WOS:000419959800012,WOS:000184624000007,"Budney, AJ",291,2003,112,393,JOURNAL OF ABNORMAL PSYCHOLOGY,The time course and significance of cannabis withdrawal,10.1037/0021-843X.112.3.393
WOS:000419959800012,MEDLINE:12751878,"Swaim, Randall C",44,2003,4,89,Prevention science : the official journal of the Society for Prevention Research,"Individual and school level effects of perceived harm, perceived availability, and community size on marijuana use among 12th-grade students: a random effects model.",10.1023/A:1022922231605
WOS:000419959800012,WOS:000179506200017,"Zammit, S",560,2002,325,1199,BRITISH MEDICAL JOURNAL,Self reported cannabis use as a risk factor for schizophrenia in Swedish conscripts of 1969: historical cohort study,10.1136/bmj.325.7374.1199
WOS:000419959800012,WOS:000179698400003,"Lichtman, AH",53,2002,42,20S,JOURNAL OF CLINICAL PHARMACOLOGY,Marijuana withdrawal syndrome in the animal model,10.1002/j.1552-4604.2002.tb05999.x
WOS:000419959800012,WOS:000171284100013,"Corbett, KK",45,2001,128,103,RESPIRATION PHYSIOLOGY,Susceptibility of youth to tobacco: a social ecological framework for prevention,10.1016/S0034-5687(01)00269-9
WOS:000419959800012,WOS:000165620400004,"Kouri, EM",135,2000,8,483,EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY,Abstinence symptoms during withdrawal from chronic marijuana use,10.1037/1064-1297.8.4.483
WOS:000419959800012,WOS:000165391100007,"Harris, D",37,2000,19,89,JOURNAL OF ADDICTIVE DISEASES,Self-reported marijuana effects and characteristics of 100 San Francisco Medical Marijuana Club members,10.1300/J069v19n03_07
WOS:000419959800012,WOS:A1997XV65700007,"Hasin, D",153,1997,47,217,DRUG AND ALCOHOL DEPENDENCE,"Nosological comparisons of alcohol and drug diagnoses: a multisite, multi-instrument international study",10.1016/S0376-8716(97)00092-6
WOS:000419959800012,WOS:A1997XV65700002,"Ustun, B",240,1997,47,161,DRUG AND ALCOHOL DEPENDENCE,WHO Study on the reliability and validity of the alcohol and drug use disorder instruments: overview of methods and results,10.1016/S0376-8716(97)00087-2
